nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,store,place_id.1,nama_kelurahan,nama_kecamatan,nama_kota,nomor,jarak_terkecil_lat,jarak_terkecil_lng,jarak_terkecil_nama_tempat,jarak_terkecil_alamat,jarak_terkecil_values,berdekatan_30m,berdekatan_50m
indomaret point,0.0,0,-6.2440509,106.8161762,"jl. bangka raya no.25, rw.2, pela mampang, kota jakarta selatan",ChIJNW2A01zxaS4RylvPeD8BOB4,Indomaret,ChIJNW2A01zxaS4RylvPeD8BOB4,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan,330,-6.2440528,106.8161758,alfamart,"jl. bangka raya kel no.31 a, rt.5/rw.5, pela mampang, kota jakarta selatan",0.21584758889440006,yes,yes
indomaret pondok jaya mampang,4.4,111,-6.2494907,106.8214751,"jl. pondok jaya vi no.6, rt.6/rw.6, pela mampang, kota jakarta selatan",ChIJf2NThW7zaS4RXQqG3ssDz7w,Indomaret,ChIJf2NThW7zaS4RXQqG3ssDz7w,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan,331,-6.2510088,106.8216417,alfamart,"jl. pondok jaya vi no.31 rt.00 kel, rt.6/rw.6, pela mampang, kota jakarta selatan",169.8067269774109,no,no
kemang timur indomaret,4.2,207,-6.2639511,106.8236563,"jl. kemang timur no.38, rt.8/rw.3, bangka, kota jakarta selatan",ChIJQZigUinyaS4R4ofKanmV2lI,Indomaret,ChIJQZigUinyaS4R4ofKanmV2lI,Bangka,Mampang Prapatan,Kota Jakarta Selatan,332,-6.2662632,106.8239456,alfamart,"jl. kemang timur no.50, rt.9/rw.003 kel, bangka, kota jakarta selatan",259.07509166122526,no,no
indomaret bangka 2b,4.4,293,-6.2422541,106.8196646,"jl. bangka ii no.12, rt.5/rw.9, pela mampang, kota jakarta selatan",ChIJR_R8Od_zaS4RTFXXRKEDqVo,Indomaret,ChIJR_R8Od_zaS4RTFXXRKEDqVo,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan,333,-6.2400492,106.818981,alfamart kapten tendean 2,"jl. kapt. tendean no. 18 b, rt, kel, rt.1/rw.1, pela mampang, kota jakarta selatan",256.5540650541753,no,no
indomaret fresh,4.6,46,-6.2437582,106.8163851,"jl. bangka raya no.23, rw.5, pela mampang, kota jakarta selatan",ChIJOVEJ60XxaS4RhRxK42wBrb8,Indomaret,ChIJOVEJ60XxaS4RhRxK42wBrb8,Pela Mampang,Mampang Prapatan,Kota Jakarta Selatan,334,-6.2440528,106.8161758,alfamart,"jl. bangka raya kel no.31 a, rt.5/rw.5, pela mampang, kota jakarta selatan",40.103899445893255,no,yes
indomaret ciputat raya 2a -b,0.0,0,-6.2395468,106.8263501,"jl. kapten tendean no.34, rt.9/rw.2, kuningan bar., kota jakarta selatan",ChIJR3Z58xPzaS4Rv46cCQ_1uvk,Indomaret,ChIJR3Z58xPzaS4Rv46cCQ_1uvk,Kuningan Barat,Mampang Prapatan,Kota Jakarta Selatan,335,-6.243284,106.8259296,alfamart,"jl. mampang prpt. raya kel no.18, rt. 06/03, rt.6/rw.3, mampang prpt., kota jakarta selatan",418.14960037497343,no,no
indomaret mampang 7,4.1,207,-6.2483281,106.824029,"jl. mampang prapatan vii no.30, rt.1/rw.3, tegal parang, kota jakarta selatan",ChIJAxkWrNDzaS4RyfXBmyZF8qA,Indomaret,ChIJAxkWrNDzaS4RyfXBmyZF8qA,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan,336,-6.2457614,106.8258046,alfamart,"jl. mampang prpt. raya kel no.58 a, rt.9/rw.3, tegal parang, kota jakarta selatan",346.37531633385277,no,no
indomaret mampang 8. t5wi,3.9,17,-6.2477205,106.8306366,"jalan mampang prapatan viii, rt.03 / rw.02, tegal parang, mampang prapatan, rt.3/rw.2, tegal parang, kota jakarta selatan",ChIJ_xUj9s_zaS4RuolU_sbnxqY,Indomaret,ChIJ_xUj9s_zaS4RuolU_sbnxqY,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan,337,-6.2472825,106.8318862,alfamart tegal parang 2,"jl. tegal parang sel. no.3, rt.4/rw.2, tegal parang, kota jakarta selatan",146.45924404475758,no,no
indomaret tegal parang 2. ts86,3.9,33,-6.2441983,106.8324248,"jl. tegal parang utara no.35, rt.7/rw.4, mampang prpt., kota jakarta selatan",ChIJF1D19sTzaS4Rw9CnBydlgJM,Indomaret,ChIJF1D19sTzaS4Rw9CnBydlgJM,Mampang Prapatan,Mampang Prapatan,Kota Jakarta Selatan,338,-6.2436208,106.8322451,alfamart tegal parang 3,"qr4j+hv3, jl. tegal parang utara, rt.4/rw.7, mampang prpt., kota jakarta selatan",67.21706793731336,no,no
indomaret tegal parang. t986,4.1,9,-6.2464648,106.8322217,"qr3j+cw7, jl. tegal parang, rt.7/rw.5, tegal parang, kota jakarta selatan",ChIJezNcc8XzaS4RsQx_12LcMCA,Indomaret,ChIJezNcc8XzaS4RsQx_12LcMCA,Tegal Parang,Mampang Prapatan,Kota Jakarta Selatan,339,-6.2472825,106.8318862,alfamart tegal parang 2,"jl. tegal parang sel. no.3, rt.4/rw.2, tegal parang, kota jakarta selatan",98.19607286516673,no,no
indomaret dinas pariwisata (ttpb) kpdp koperasi dinas pariwisata,5.0,1,-6.2350141,106.821856,"jl. kuningan barat raya, rt.6/rw.1, kuningan bar., kota jakarta selatan",ChIJCaIfAS3zaS4RU05zKohxCf0,Indomaret,ChIJCaIfAS3zaS4RU05zKohxCf0,Kuningan Barat,Mampang Prapatan,Kota Jakarta Selatan,340,-6.2304158,106.8213373,alfamart guru mugni 2,"jl. peltu rahmat sidup no.7 kuningan rt.1, rt.1, rt.1, kuningan, kuningan tim., kota jakarta selatan",514.5130019194489,no,no
indomaret point tlt,5.0,1,-6.2301637,106.8183432,"jl. gatot subroto no.kav 52, rt.6/rw.1, kuningan bar., kota jakarta selatan",ChIJ4RbvS9PzaS4R6hZNBfVLPa4,Indomaret,ChIJ4RbvS9PzaS4R6hZNBfVLPa4,Kuningan Barat,Mampang Prapatan,Kota Jakarta Selatan,341,-6.2300567,106.8187181,alfamart,"jl. gatot subroto kel no.kav.52, rt.6/rw.1, kuningan bar., kota jakarta selatan",43.114988024939585,no,yes
indomaret kemang utara. tc87,4.4,18,-6.2541381,106.8269373,"jl. kemang utara ix no.1, rt.2/rw.5, duren tiga, kota jakarta selatan",ChIJhxAVNdLzaS4RE36ihgryocM,Indomaret,ChIJhxAVNdLzaS4RE36ihgryocM,Duren Tiga,Pancoran,Kota Jakarta Selatan,368,-6.2527996,106.8268128,alfamart,"jl. mampang prpt. 16 kel no.5, rt.1/rw.6, tegal parang, kota jakarta selatan",149.4694587188127,no,no
indomaret warung jati,5.0,1,-6.2613007,106.8289744,"jl. warung buncit raya no.25, rt.7/rw.3, kalibata, kota jakarta selatan",ChIJSXpPIvDzaS4RKSuxd1gXm2Q,Indomaret,ChIJSXpPIvDzaS4RKSuxd1gXm2Q,Kalibata,Pancoran,Kota Jakarta Selatan,369,-6.258383,106.8253662,alfamart,"jl. duren bangka no.31, d no.kel, rt.6/rw.4, bangka, kota jakarta selatan",514.1169644660133,no,no
indomaret,3.6,10,-6.2627434,106.830664,"jl. warung buncit raya no.1 a, rt.5/rw.3, kalibata, kota jakarta selatan",ChIJ420LHDLyaS4RhHEuu5hwBX8,Indomaret,ChIJ420LHDLyaS4RhHEuu5hwBX8,Kalibata,Pancoran,Kota Jakarta Selatan,370,-6.2617535,106.8336621,alfamart,"jl. kalibata tengah kel no.60, rt.10/rw.7, kalibata, kota jakarta selatan",349.18719106056346,no,no
indomaret pancoran barat 7 tfpc,4.8,8,-6.2519758,106.8368081,"jl. pancoran barat vii no.9a, rt.8/rw.1, duren tiga, kota jakarta selatan",ChIJEYrs5dDzaS4RJRZWtIRczmM,Indomaret,ChIJEYrs5dDzaS4RJRZWtIRczmM,Duren Tiga,Pancoran,Kota Jakarta Selatan,371,-6.2528699,106.8376863,alfamart pancoran barat vii,"jl. pancoran barat vii no.7a, rt.15/rw.1, pancoran, kota jakarta selatan",138.94946803219958,no,no
indomaret pancoran 7,4.1,31,-6.2497874,106.8365148,"jl. pancoran barat vii, rt. 013 / rw. 006, pancoran, mampang prapatan, rt.12/rw.6, pancoran, kota jakarta selatan",ChIJY3w000zyaS4RJpAudy3L5V4,Indomaret,ChIJY3w000zyaS4RJpAudy3L5V4,Pancoran,Pancoran,Kota Jakarta Selatan,372,-6.2499501,106.8363977,alfamart,"jl. pancoran barat vii kel no.22, rt.9/rw.6, kalibata, kota jakarta selatan",22.24490509382048,yes,yes
indomaret pancoran barat 34,0.0,0,-6.251984,106.8367253,"jl. pancoran barat vii no.34, rt.8/rw.6, duren tiga, kota jakarta selatan",ChIJncPt8wXzaS4RDxKhwvnyVpg,Indomaret,ChIJncPt8wXzaS4RDxKhwvnyVpg,Duren Tiga,Pancoran,Kota Jakarta Selatan,373,-6.2528699,106.8376863,alfamart pancoran barat vii,"jl. pancoran barat vii no.7a, rt.15/rw.1, pancoran, kota jakarta selatan",144.86912983869158,no,no
indomaret h.maun,4.2,84,-6.2588638,106.8375135,"prrq+c2r, jl. duren tiga selatan, rt.8/rw.2, kalibata, kota jakarta selatan",ChIJI0tOwjTyaS4RLO_bH3X27As,Indomaret,ChIJI0tOwjTyaS4RLO_bH3X27As,Kalibata,Pancoran,Kota Jakarta Selatan,374,-6.2617535,106.8336621,alfamart,"jl. kalibata tengah kel no.60, rt.10/rw.7, kalibata, kota jakarta selatan",533.357097583693,no,no
indomaret buncit warung jati. {t8nd},4.4,206,-6.2626787,106.8306876,"jl. kalibata tengah xvi no.1, rt.5/rw.9, kalibata, kota jakarta selatan",ChIJcTAiHDLyaS4R0aVLrIbKjmg,Indomaret,ChIJcTAiHDLyaS4R0aVLrIbKjmg,Kalibata,Pancoran,Kota Jakarta Selatan,375,-6.2617535,106.8336621,alfamart,"jl. kalibata tengah kel no.60, rt.10/rw.7, kalibata, kota jakarta selatan",344.4961819786047,no,no
indomaret duren tiga raya. tuoi,4.0,27,-6.2534709,106.8404797,"jalan duren tiga barat no.32, rt.1/rw.1, duren tiga, pancoran, rt.1/rw.1, pancoran, kota jakarta selatan",ChIJkzb3EMrzaS4RXv7xWnaXfb8,Indomaret,ChIJkzb3EMrzaS4RXv7xWnaXfb8,Pancoran,Pancoran,Kota Jakarta Selatan,376,-6.2534048,106.8401304,alfamart,"jl. duren tiga selatan no.88, rt.1/rw.001 kel, pancoran, kota jakarta selatan",39.30271035246395,no,yes
indomaret,4.6,19,-6.2614906,106.840841,"jl. kalibata tengah no.1a, rt.5/rw.7, kalibata, kota jakarta selatan",ChIJyTF07TXyaS4RYebkKF7u42o,Indomaret,ChIJyTF07TXyaS4RYebkKF7u42o,Kalibata,Pancoran,Kota Jakarta Selatan,377,-6.2614857,106.8419188,alfamart,"jl. kalibata tengah kel no.rt. 001 / 07, rt.2/rw.7, kalibata, kota jakarta selatan",119.13236055980857,no,no
indomaret - spbu pancoran tjrt,3.1,10,-6.246947,106.8424352,"qr3r+6x7, rt.1/rw.4, pancoran, south jakarta city",ChIJpzdhkdPzaS4R8PAP1nFVLYE,Indomaret,ChIJpzdhkdPzaS4R8PAP1nFVLYE,Pancoran,Pancoran,Kota Jakarta Selatan,378,-6.2470074,106.8432948,alfamart,"gedung l'avenue shop 1, jl. raya pasar minggu kel no.kav.16, rt.1/rw.4, kalibata, kota jakarta selatan",95.25279588155156,no,no
indomaret pengadegan timur,4.3,57,-6.2484539,106.8587205,"jl. pengadegan timur raya no.2, rt.3/rw.2, pengadegan, kota jakarta selatan",ChIJqUxFMa_zaS4Rb6WsdUlLWrQ,Indomaret,ChIJqUxFMa_zaS4Rb6WsdUlLWrQ,Pengadegan,Pancoran,Kota Jakarta Selatan,379,-6.249124,106.8586472,alfamart,"jl. pengadegan timur raya no.17, rt.3/rw.2, pengadegan, kota jakarta selatan",74.95103084908735,no,no
indomaret of pengadegan,3.9,65,-6.2516495,106.849876,"jl. pengadegan selatan viii no.5b, rt.9/rw.5, pengadegan, kota jakarta selatan",ChIJPRf2ebHzaS4R2AqgbPWyqrI,Indomaret,ChIJPRf2ebHzaS4R2AqgbPWyqrI,Pengadegan,Pancoran,Kota Jakarta Selatan,380,-6.2516637,106.8500804,alfamart,"jl. pengadegan selatan no.no, rt.3/rw.5, pengadegan, kota jakarta selatan",22.64822138996438,yes,yes
indomaret - tower damar,4.2,10,-6.257494,106.8528125,"pvr3+x4w, rt.9/rw.4, rawajati, south jakarta city",ChIJn9W6dvPzaS4R-cPh4bkgO1g,Indomaret,ChIJn9W6dvPzaS4R-cPh4bkgO1g,Rawajati,Pancoran,Kota Jakarta Selatan,381,-6.2572846,106.8526894,alfamart - tower ebony,"pvv3+33p, rt.9/rw.4, rawajati, south jakarta city",26.968405362131442,yes,yes
indomaret pangadegan utara,4.4,142,-6.2459671,106.8555993,"no., jl. pengadegan utara no.12a, rt.6/rw.7, cikoko, kota jakarta selatan",ChIJrevYYKXzaS4RywexQtwJGqY,Indomaret,ChIJrevYYKXzaS4RywexQtwJGqY,Cikoko,Pancoran,Kota Jakarta Selatan,382,-6.245896,106.8555588,alfamart pengadengan barat,"jl. pengadegan barat raya no.21, rt.2/rw.6, pengadegan, kota jakarta selatan",9.085423983248546,yes,yes
indomaret,0.0,0,-6.2577016,106.8535744,"tower kalibata cendana, rawajati, kota jakarta selatan",ChIJV9gKwXvzaS4RKk1asM_cBr8,Indomaret,ChIJV9gKwXvzaS4RKk1asM_cBr8,Rawajati,Pancoran,Kota Jakarta Selatan,383,-6.2572846,106.8526894,alfamart - tower ebony,"pvv3+33p, rt.9/rw.4, rawajati, south jakarta city",108.25450915527475,no,no
indomaret tower 1,0.0,0,-6.2514995,106.861901,"pvx6+cq3, jl. pengadegan timur i, rt.7/rw.1, pengadegan, kota jakarta selatan",ChIJGYiD7b_zaS4RVrXT4JRudmo,Indomaret,ChIJGYiD7b_zaS4RVrXT4JRudmo,Pengadegan,Pancoran,Kota Jakarta Selatan,384,-6.2514477,106.8618801,alfamart,"jl. pengadegan timur i no.30, rt.7/rw.1, pengadegan, kota jakarta selatan",6.205911389324194,yes,yes
indomaret tower rafles,0.0,0,-6.2572773,106.850916,"tower rafles t4vn, kalibata city, apt",ChIJXYGF0a_zaS4RaVDjPs-LMYk,Indomaret,ChIJXYGF0a_zaS4RaVDjPs-LMYk,Rawajati,Pancoran,Kota Jakarta Selatan,385,-6.2579807,106.8499505,alfamart,"apartement kalibata city tower nusa indah 08-11 kel, rt.9/rw.4, rawajati, kota jakarta selatan",132.3121755459827,no,no
indomaret of rawajati,4.1,10,-6.2628099,106.8520926,"pvp2+vrh, jl. rawajati timur, rt.7/rw.6, rawajati, kota jakarta selatan",ChIJPRc3DE7yaS4Rlzq8SQ7YEfE,Indomaret,ChIJPRc3DE7yaS4Rlzq8SQ7YEfE,Rawajati,Pancoran,Kota Jakarta Selatan,386,-6.2656026,106.8508493,alfamart,"jl. rawajati timur no.kel, rt.7/rw.6, rawajati, kota jakarta selatan",339.5833737163929,no,no
indomaret,0.0,0,-6.2467067,106.8549365,"rw.7, pengadegan, kota jakarta selatan",ChIJZ0DyfMnzaS4RJ9jFt8abwmQ,Indomaret,ChIJZ0DyfMnzaS4RJ9jFt8abwmQ,Pengadegan,Pancoran,Kota Jakarta Selatan,387,-6.2465292,106.8553284,alfamart,"5 jalan pengadegan utara kel no. 6 2, cikoko, kota jakarta selatan",47.603122364767486,no,yes
indomaret of kalibata city,4.1,14,-6.256166,106.8533404,"apartemen kalibata city, tower gaharu, at 01-02, jalan kalibata raya, rawajati, pancoran, rt.9/rw.4, rawajati, kota jakarta selatan",ChIJeYYMX63zaS4RoKELlWfnU9Q,Indomaret,ChIJeYYMX63zaS4RoKELlWfnU9Q,Rawajati,Pancoran,Kota Jakarta Selatan,388,-6.2572846,106.8526894,alfamart - tower ebony,"pvv3+33p, rt.9/rw.4, rawajati, south jakarta city",143.6971444614105,no,no
indomaret tower cendana,4.8,5,-6.2584634,106.8533232,"jl. rawajati barat no.8, rw.4, rawajati, kota jakarta selatan",ChIJv2LFq1LyaS4RTp3YYUId3jg,Indomaret,ChIJv2LFq1LyaS4RTp3YYUId3jg,Rawajati,Pancoran,Kota Jakarta Selatan,389,-6.2572846,106.8526894,alfamart - tower ebony,"pvv3+33p, rt.9/rw.4, rawajati, south jakarta city",148.62331879071112,no,no
indomaret tower 3,0.0,0,-6.2523677,106.8615916,"apartemen pancoran riverside tower 3, jl, jl. pengadegan timur i no.30, rt.6/rw.1, pengadegan, south jakarta city",ChIJV7ZuexPzaS4Raja2xYYiJ_I,Indomaret,ChIJV7ZuexPzaS4Raja2xYYiJ_I,Pengadegan,Pancoran,Kota Jakarta Selatan,390,-6.2514477,106.8618801,alfamart,"jl. pengadegan timur i no.30, rt.7/rw.1, pengadegan, kota jakarta selatan",107.15451561220922,no,no
indomaret apartemen pancoran riverside ftnt,4.4,16,-6.2519235,106.8616752,"jl. pengadegan timur i no.30, rt.6/rw.1, pengadegan, kota jakarta selatan",ChIJT9K7ZKnzaS4RYVbkqs38TuU,Indomaret,ChIJT9K7ZKnzaS4RYVbkqs38TuU,Pengadegan,Pancoran,Kota Jakarta Selatan,391,-6.2514477,106.8618801,alfamart,"jl. pengadegan timur i no.30, rt.7/rw.1, pengadegan, kota jakarta selatan",57.550494687569035,no,no
indomaret,4.2,5,-6.2563574,106.8502356,"apartemen kalibata city green palace tower tulip, no 1, selatan rt.9/rw.4, jl. raya kalibata, rt.9/rw.4, rawajati, south jakarta city",ChIJkUGyILPzaS4RS2iZ8BGqPkc,Indomaret,ChIJkUGyILPzaS4RS2iZ8BGqPkc,Rawajati,Pancoran,Kota Jakarta Selatan,392,-6.2579807,106.8499505,alfamart,"apartement kalibata city tower nusa indah 08-11 kel, rt.9/rw.4, rawajati, kota jakarta selatan",183.23314094059683,no,no
indomaret tower 2,0.0,0,-6.2516153,106.861321,"pvx6+9g, pengadegan, south jakarta city",ChIJuzWu8LvzaS4Ra3ud2A7lDHo,Indomaret,ChIJuzWu8LvzaS4Ra3ud2A7lDHo,Pengadegan,Pancoran,Kota Jakarta Selatan,393,-6.2514477,106.8618801,alfamart,"jl. pengadegan timur i no.30, rt.7/rw.1, pengadegan, kota jakarta selatan",64.54832864321912,no,no
indomaret signature park,4.3,3,-6.242484,106.854727,"mt haryono st no.10, rw.9, east tebet, south jakarta city",ChIJ71RBBiPzaS4RzLWpLbPWU80,Indomaret,ChIJ71RBBiPzaS4RzLWpLbPWU80,Tebet Timur,Pancoran,Kota Jakarta Selatan,394,-6.2427469,106.8545314,alfamart apartemen signature,"jl. letjen m.t. haryono no.10, rw.9, tebet tim., kota jakarta selatan",36.35983685941241,no,yes
indomaret point stasiun kalibata,4.4,27,-6.2553656,106.8549931,"pvv3+vx5, jl. rawajati bar., rt.6/rw.7, rawajati, kota jakarta selatan",ChIJzXZzEq3zaS4REp5urTglWeE,Indomaret,ChIJzXZzEq3zaS4REp5urTglWeE,Rawajati,Pancoran,Kota Jakarta Selatan,395,-6.2550819,106.8562552,alfamart,"woodland park residence tower trembesi, jl. raya kalibata kel no.22, rt.6/rw.7, rawajati, kota jakarta selatan",143.02608059255402,no,no
indomaret kalibata utara,4.5,101,-6.2604007,106.837657,"jl. kalibata utara ii no.37, rt.7/rw.7, kalibata, kota jakarta selatan",ChIJiXNZXIjzaS4RjQ-7sFoVCPU,Indomaret,ChIJiXNZXIjzaS4RjQ-7sFoVCPU,Kalibata,Pancoran,Kota Jakarta Selatan,396,-6.2617535,106.8336621,alfamart,"jl. kalibata tengah kel no.60, rt.10/rw.7, kalibata, kota jakarta selatan",466.4826018853807,no,no
indomaret rawajati timur ii,4.4,171,-6.2599244,106.8548204,"jl. rawajati timur ii no.6a, rt.6/rw.8, rawajati, kota jakarta selatan",ChIJgxhagUnzaS4RvD_Z_w12BOo,Indomaret,ChIJgxhagUnzaS4RvD_Z_w12BOo,Rawajati,Pancoran,Kota Jakarta Selatan,397,-6.2572846,106.8526894,alfamart - tower ebony,"pvv3+33p, rt.9/rw.4, rawajati, south jakarta city",376.35445526508755,no,no
indomaret jeruk purut,4.5,132,-6.2911647,106.8129499,"jl. jeruk purut no.22, rt.3/rw.3, cilandak tim., kota jakarta selatan",ChIJvy_4mvnxaS4RjjbhIFaTp4Y,Indomaret,ChIJvy_4mvnxaS4RjjbhIFaTp4Y,Cilandak Timur,Pasar Minggu,Kota Jakarta Selatan,414,-6.289572,106.8126228,alfamart,"jl. jeruk purut kel no.9 1/3, rt.1/rw.3, cilandak tim., kota jakarta selatan",180.75283543224853,no,no
indomaret cilandak raya,4.3,20,-6.2970042,106.8154176,"pr38+55x, jl. raya cilandak kko, rt.1/rw.5, ragunan, kota jakarta selatan",ChIJ-6Meqf_xaS4R99u9vNNVFjg,Indomaret,ChIJ-6Meqf_xaS4R99u9vNNVFjg,Ragunan,Pasar Minggu,Kota Jakarta Selatan,415,-6.3001102,106.8147245,alfamart,"jl. raya cilandak kko kel no.9, rt.1/rw.8, ragunan, kota jakarta selatan",353.76538894113384,no,no
indomaret plus cilandak kko (tmip),4.5,645,-6.3098246,106.8139564,"jl. raya cilandak kko no.3, rt.14/rw.8, ragunan, kota jakarta selatan",ChIJJ3rNnQjuaS4RWjDJ-zFTzR0,Indomaret,ChIJJ3rNnQjuaS4RWjDJ-zFTzR0,Ragunan,Pasar Minggu,Kota Jakarta Selatan,416,-6.3094162,106.8138852,alfamart cilandak kko 3,"jl. cilandak kko no.1 a rt.014/08, cilandak ragunan rt.1, rt.14/rw.7, ragunan, south jakarta city",46.08882088861865,no,yes
indomaret perempatan ampera,4.1,69,-6.2917269,106.8165986,"jalan ampera raya 2, rt.2/rw.2, cilandak tim., kota jakarta selatan",ChIJCTLyivjxaS4Rre-W6oaY4qE,Indomaret,ChIJCTLyivjxaS4Rre-W6oaY4qE,Cilandak Timur,Pasar Minggu,Kota Jakarta Selatan,417,-6.289572,106.8126228,alfamart,"jl. jeruk purut kel no.9 1/3, rt.1/rw.3, cilandak tim., kota jakarta selatan",500.5112807561062,no,no
indomaret point ampera,4.3,264,-6.2819344,106.8197334,"5, jl. ampera raya no.135, rt.5/rw.10, ragunan, kota jakarta selatan",ChIJSdmaRR7yaS4Rz1S6S2xE9kw,Indomaret,ChIJSdmaRR7yaS4Rz1S6S2xE9kw,Ragunan,Pasar Minggu,Kota Jakarta Selatan,418,-6.2772249,106.8204814,alfamart,"jl. ampera raya no. 120a, rt. 002/010 kel, rt.2/rw.10, ragunan, kota jakarta selatan",530.1592095031774,no,no
indomaret kebagusan,0.0,0,-6.3179597,106.8250448,"jl. kebagusan raya no.56, rt.10/rw.4, kebagusan, kota jakarta selatan",ChIJU4w3LnrtaS4RuMgFlMLq-BI,Indomaret,ChIJU4w3LnrtaS4RuMgFlMLq-BI,Kebagusan,Pasar Minggu,Kota Jakarta Selatan,419,-6.3169421,106.8251017,alfamart,"jl. kebagusan raya kel, rt.2/rw.4, kebagusan, kota jakarta selatan",113.32672699671441,no,no
indomaret,4.7,10,-6.3138579,106.8255294,"mrpg+f62, rt.10/rw.7, ragunan, south jakarta city",ChIJ7a6YI-TtaS4RHRQ67Lb2ub0,Indomaret,ChIJ7a6YI-TtaS4RHRQ67Lb2ub0,Ragunan,Pasar Minggu,Kota Jakarta Selatan,420,-6.3127126,106.8257501,alfamart,"jl. raya jatipadang kel no.16, rt.7/rw.5, kebagusan, kota jakarta selatan",129.6666033904623,no,no
indomaret kebagusan city,4.3,14,-6.3075195,106.8358518,"apartement kebagusan city tower c unitk18192223, rt.1/rw.6, kebagusan, south jakarta city",ChIJz_____DtaS4RuBSePQZKmzM,Indomaret,ChIJz_____DtaS4RuBSePQZKmzM,Kebagusan,Pasar Minggu,Kota Jakarta Selatan,421,-6.307295,106.8351857,alfamart - kebagusan city,"apartemen kebagusan city tower a, rt.1/rw.3, kebagusan, pasar minggu, rt.1/rw.3, kebagusan, kota jakarta selatan",77.73595519314006,no,no
indomaret pasar minggu,4.5,2,-6.2914351,106.8419087,"jl. raya ps. minggu no.15d, rt.13/rw.5, ps. minggu, kota jakarta selatan",ChIJKdFjS4XzaS4RpmE0MI-N8hQ,Indomaret,ChIJKdFjS4XzaS4RpmE0MI-N8hQ,Pasar Minggu,Pasar Minggu,Kota Jakarta Selatan,422,-6.2895993,106.8399531,alfamart kaplongan,"blok pasar minggu rt 06/02, kaplongan",297.30119764274787,no,no
indomaret gurame raya,4.2,18,-6.2957984,106.8366216,"jl. gurame raya no.32, rt.2/rw.9, ps. minggu, kota jakarta selatan",ChIJgVaTJgryaS4RZDPX8Ifsn0A,Indomaret,ChIJgVaTJgryaS4RZDPX8Ifsn0A,Pasar Minggu,Pasar Minggu,Kota Jakarta Selatan,423,-6.2959898,106.8365489,alfamart,"jl. gurame i, rt.2/rw.9, kel, kota jakarta selatan",22.749026730103825,yes,yes
indomaret,4.0,44,-6.2955876,106.8453943,"jl. poltangan raya no.49, rt.5/rw.10, pejaten tim., kota jakarta selatan",ChIJvdo1THTyaS4RBoB9yjj3LdM,Indomaret,ChIJvdo1THTyaS4RBoB9yjj3LdM,Pejaten Timur,Pasar Minggu,Kota Jakarta Selatan,424,-6.2967705,106.8442387,alfamart,"jl. raya poltangan, rt. 001, r no.kel, rt.1/rw.4, tj. bar., kota jakarta selatan",183.3405131645536,no,no
indomaret mtrade teluk betung,0.0,0,-6.2993709,106.8399129,"jl. raya pasar minggu no.168, rt.4/rw.8, ps. minggu, kota jakarta selatan",ChIJ5RSsmVTtaS4RlacdijhrxSI,Indomaret,ChIJ5RSsmVTtaS4RlacdijhrxSI,Pasar Minggu,Pasar Minggu,Kota Jakarta Selatan,425,-6.2984046,106.8407504,alfamart,"jl. tj. bar. lama no.kel, rt.4/rw.4, tj. bar., kota jakarta selatan",141.82054547707241,no,no
indomaret rawa bambu,4.4,271,-6.2914141,106.8419168,"jl. raya rw. bambu no.14, rt.13/rw.5, ps. minggu, kota jakarta selatan",ChIJA00kMHPyaS4RzjSAlv_vnD4,Indomaret,ChIJA00kMHPyaS4RzjSAlv_vnD4,Pasar Minggu,Pasar Minggu,Kota Jakarta Selatan,426,-6.2895993,106.8399531,alfamart kaplongan,"blok pasar minggu rt 06/02, kaplongan",296.35777580378544,no,no
indomaret,4.9,7,-6.2981305,106.8299386,"plaza oleos, jl. tb simatupang, rt.2/rw.1, kebagusan, kota jakarta selatan",ChIJ4dtL_AfyaS4RF-C9eDUjQ0o,Indomaret,ChIJ4dtL_AfyaS4RF-C9eDUjQ0o,Kebagusan,Pasar Minggu,Kota Jakarta Selatan,427,-6.3022797,106.8264828,alfamart,"jl. kebagusan raya kel, rt.8/rw.7, kebagusan, kota jakarta selatan",598.9545190091234,no,no
raya ragunan indomaret,4.1,17,-6.2858816,106.8301102,"jl. raya ragunan no.19, rt.2/rw.7, jati padang, kota jakarta selatan",ChIJBS7mhhDyaS4RwQ24c_CL25w,Indomaret,ChIJBS7mhhDyaS4RwQ24c_CL25w,Jati Padang,Pasar Minggu,Kota Jakarta Selatan,428,-6.2856815,106.8292432,alfamart,"jl. jati murni kel, rt.2/rw.7, jati padang, kota jakarta selatan",98.37579661040456,no,no
indomaret taman margasatwa,4.3,21,-6.2892776,106.8242394,"jalan taman margasatwa no.18a, jati padang, rt.6/rw.1, ragunan, kota jakarta selatan",ChIJ2fZhrgTyaS4Rl1uCPiHU63Q,Indomaret,ChIJ2fZhrgTyaS4Rl1uCPiHU63Q,Ragunan,Pasar Minggu,Kota Jakarta Selatan,429,-6.2891661,106.8244073,alfamart,"jl. taman margasatwa raya kel no.10, rt.6/rw.1, ragunan, kota jakarta selatan",22.317923992449256,yes,yes
